dia;eventos;sent;novos;existentes;pending;pending_retry;failed;sem_fila;nao_concluidos;taxa_sucesso_pct
2026-03-23;15;15;11;4;0;0;0;0;0;100.0
2026-03-24;17;17;9;8;0;0;0;0;0;100.0
2026-03-25;225;224;184;40;0;0;1;0;1;99.6
2026-03-26;209;208;174;34;0;0;1;0;1;99.5
2026-03-27;178;176;147;29;0;0;2;0;2;98.9
2026-03-28;198;198;175;23;0;0;0;0;0;100.0
2026-03-29;316;313;249;64;0;0;3;0;3;99.1
2026-03-30;253;253;213;40;0;0;0;0;0;100.0
2026-03-31;248;247;209;38;0;0;1;0;1;99.6
2026-04-01;232;232;193;39;0;0;0;0;0;100.0
2026-04-02;262;258;220;38;0;0;4;0;4;98.5
2026-04-03;273;272;221;51;0;0;1;0;1;99.6
2026-04-04;222;221;187;34;0;0;1;0;1;99.5
2026-04-05;312;309;240;69;0;0;3;0;3;99.0
2026-04-06;297;295;242;53;0;0;2;0;2;99.3
2026-04-07;257;252;200;52;0;0;5;0;5;98.1
2026-04-08;243;243;199;44;0;0;0;0;0;100.0
2026-04-09;247;245;198;47;0;0;2;0;2;99.2
2026-04-10;256;256;199;57;0;0;0;0;0;100.0
2026-04-11;268;265;226;39;0;0;3;0;3;98.9
2026-04-12;337;334;274;60;0;0;3;0;3;99.1
2026-04-13;302;300;245;55;0;0;2;0;2;99.3
2026-04-14;274;273;209;64;0;0;1;0;1;99.6
2026-04-15;338;336;276;60;0;0;2;0;2;99.4
2026-04-16;300;298;235;63;0;0;2;0;2;99.3
2026-04-17;258;257;207;50;0;0;1;0;1;99.6
2026-04-18;223;223;177;46;0;0;0;0;0;100.0
2026-04-19;349;349;288;61;0;0;0;0;0;100.0
2026-04-20;330;329;281;48;0;0;1;0;1;99.7
2026-04-21;296;295;240;55;0;0;1;0;1;99.7
2026-04-22;285;284;234;50;0;0;1;0;1;99.6
2026-04-23;283;281;237;44;0;0;2;0;2;99.3
2026-04-24;214;213;172;41;0;0;1;0;1;99.5
2026-04-25;194;194;158;36;0;0;0;0;0;100.0
2026-04-26;341;341;300;41;0;0;0;0;0;100.0
2026-04-27;309;308;251;57;0;0;1;0;1;99.7
2026-04-28;298;296;242;54;0;0;2;0;2;99.3
2026-04-29;253;252;200;52;0;0;1;0;1;99.6
2026-04-30;247;245;195;50;0;0;2;0;2;99.2
2026-05-01;231;231;186;45;0;0;0;0;0;100.0
2026-05-02;244;242;198;44;0;0;2;0;2;99.2
2026-05-03;336;333;266;67;0;0;3;0;3;99.1
2026-05-04;272;271;213;58;0;0;1;0;1;99.6
2026-05-05;249;249;203;46;0;0;0;0;0;100.0
2026-05-06;290;290;247;43;0;0;0;0;0;100.0
2026-05-07;199;198;165;33;0;0;1;0;1;99.5
2026-05-08;160;160;120;40;0;0;0;0;0;100.0
2026-05-09;164;163;122;41;0;0;1;0;1;99.4
2026-05-10;264;264;176;88;0;0;0;0;0;100.0
2026-05-11;231;231;157;74;0;0;0;0;0;100.0
2026-05-12;272;269;186;83;0;0;3;0;3;98.9
2026-05-13;214;213;155;58;0;0;1;0;1;99.5
2026-05-14;204;204;155;49;0;0;0;0;0;100.0
2026-05-15;195;193;151;42;0;0;2;0;2;99.0
2026-05-16;153;153;112;41;0;0;0;0;0;100.0
2026-05-17;277;276;220;56;0;0;1;0;1;99.6
2026-05-18;285;283;234;49;0;0;2;0;2;99.3
2026-05-19;286;284;227;57;0;0;2;0;2;99.3
2026-05-20;266;265;211;54;0;0;1;0;1;99.6
2026-05-21;222;221;169;52;0;0;1;0;1;99.5
2026-05-22;213;212;173;39;0;0;1;0;1;99.5
2026-05-23;182;182;142;40;0;0;0;0;0;100.0
2026-05-24;151;151;123;28;0;0;0;0;0;100.0
2026-05-25;255;255;210;45;0;0;0;0;0;100.0
2026-05-26;230;226;176;50;0;0;4;0;4;98.3
2026-05-27;230;230;164;66;0;0;0;0;0;100.0
2026-05-28;200;200;152;48;0;0;0;0;0;100.0
2026-05-29;146;146;98;48;0;0;0;0;0;100.0
2026-05-30;164;164;116;48;0;0;0;0;0;100.0
2026-05-31;233;232;190;42;0;0;1;0;1;99.6
2026-06-01;241;241;180;61;0;0;0;0;0;100.0
2026-06-02;175;174;137;37;0;0;1;0;1;99.4
2026-06-03;187;186;125;61;0;0;1;0;1;99.5
2026-06-04;173;172;132;40;0;0;1;0;1;99.4
2026-06-05;131;131;94;37;0;0;0;0;0;100.0
2026-06-06;117;117;83;34;0;0;0;0;0;100.0
2026-06-07;241;241;180;61;0;0;0;0;0;100.0
2026-06-08;207;205;155;50;0;0;2;0;2;99.0
2026-06-09;214;214;156;58;0;0;0;0;0;100.0
2026-06-10;200;195;145;50;0;0;5;0;5;97.5
2026-06-11;168;167;123;44;0;0;1;0;1;99.4
2026-06-12;139;138;99;39;0;0;1;0;1;99.3
2026-06-13;134;133;102;31;0;0;1;0;1;99.3
2026-06-14;184;184;130;54;0;0;0;0;0;100.0
2026-06-15;212;209;160;49;0;2;1;0;3;98.6
2026-06-16;172;171;135;36;0;1;0;0;1;99.4
2026-06-17;186;100;76;24;86;0;0;0;86;53.8
2026-06-18;9;0;0;0;9;0;0;0;9;0.0
