dia;csv_qtd;db_qtd;diff_qtd;csv_produtor;db_produtor;diff_produtor
2026-08-01;19;19;0;3224.49;3224.49;0.00
2026-08-02;34;34;0;4028.71;4028.71;0.00
2026-08-03;17;17;0;1692.23;1692.23;0.00
2026-08-04;8;8;0;1364.75;1364.75;0.00
2026-08-05;7;7;0;764.66;764.66;0.00
2026-08-06;22;22;0;5226.02;5226.02;0.00
2026-08-07;15;15;0;2884.78;2884.78;0.00
2026-08-08;8;8;0;1447.82;1447.82;0.00
2026-08-09;1;1;0;363.25;363.25;0.00
2026-08-10;20;20;0;4133.61;4133.61;0.00
2026-08-11;15;15;0;2012.02;2012.02;0.00
2026-08-12;3;3;0;430.39;430.39;0.00
2026-08-13;4;4;0;1156.82;1156.82;0.00
2026-08-14;21;21;0;4552.07;4552.07;0.00
2026-08-15;9;9;0;959.41;959.41;0.00
2026-08-16;3;3;0;382.19;382.19;0.00
2026-08-17;13;13;0;1997.57;1997.57;0.00
2026-08-18;17;17;0;4046.59;4046.59;0.00
2026-08-19;7;7;0;840.77;840.77;0.00
2026-08-20;7;7;0;716.47;716.47;0.00
2026-08-21;12;12;0;1945.72;1945.72;0.00
2026-08-22;21;21;0;5610.92;5610.92;0.00
2026-08-23;9;9;0;1205.44;1205.44;0.00
2026-08-24;12;12;0;1585.32;1585.32;0.00
2026-08-25;7;7;0;902.31;902.31;0.00
